iter	Passed	Remaining
0	4	889
1	7	790
2	11	752
3	16	806
4	21	824
5	25	839
6	32	896
7	36	868
8	39	845
9	43	824
10	52	901
11	56	887
12	60	865
13	68	914
14	72	895
15	76	875
16	86	926
17	89	909
18	94	897
19	101	909
20	104	886
21	107	867
22	115	886
23	118	865
24	120	845
25	129	864
26	135	870
27	139	856
28	148	874
29	152	866
30	164	896
31	169	890
32	181	920
33	189	924
34	203	961
35	217	989
36	232	1024
37	247	1053
38	251	1039
39	262	1051
40	265	1030
41	268	1010
42	278	1017
43	282	1002
44	286	985
45	296	991
46	299	973
47	303	959
48	310	955
49	314	942
50	318	931
51	327	932
52	332	923
53	341	923
54	344	908
55	347	894
56	357	897
57	361	884
58	367	877
59	373	871
60	376	857
61	379	843
62	387	843
63	391	831
64	394	818
65	403	820
66	408	811
67	413	801
68	419	797
69	422	785
70	425	773
71	428	762
72	434	756
73	437	745
74	440	734
75	443	723
76	450	719
77	454	711
78	458	701
79	466	700
80	470	691
81	473	681
82	476	671
83	483	667
84	487	659
85	490	649
86	493	641
87	501	637
88	504	628
89	506	619
90	514	616
91	519	609
92	522	601
93	529	597
94	533	590
95	536	581
96	539	573
97	546	568
98	549	560
99	551	551
100	554	543
101	561	539
102	564	531
103	567	523
104	570	515
105	576	511
106	580	504
107	582	496
108	585	489
109	592	484
110	595	477
111	598	470
112	601	463
113	609	460
114	613	453
115	616	446
116	620	439
117	626	435
118	629	428
119	632	421
120	634	414
121	641	410
122	644	403
123	647	396
124	650	390
125	657	386
126	660	379
127	663	373
128	666	366
129	673	362
130	676	356
131	678	349
132	681	343
133	689	339
134	693	334
135	696	327
136	699	321
137	707	317
138	720	316
139	726	311
140	729	305
141	735	300
142	739	294
143	742	288
144	745	282
145	754	279
146	757	273
147	760	267
148	763	261
149	771	257
150	776	251
151	785	248
152	793	243
153	806	240
154	821	238
155	825	232
156	838	229
157	857	227
158	863	222
159	875	218
160	885	214
161	896	210
162	903	204
163	905	198
164	922	195
165	940	192
166	950	187
167	953	181
168	961	176
169	965	170
170	968	164
171	971	158
172	976	152
173	979	146
174	982	140
175	985	134
176	988	128
177	993	122
178	996	116
179	999	111
180	1002	105
181	1007	99
182	1012	94
183	1015	88
184	1017	82
185	1021	76
186	1026	71
187	1029	65
188	1032	60
189	1035	54
190	1041	49
191	1044	43
192	1047	37
193	1049	32
194	1052	26
195	1058	21
196	1061	16
197	1063	10
198	1066	5
199	1071	0
